player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
1,4,24,29.296526,1e-04,Character.FOX,Action.NEUTRAL_B_ATTACKING,24,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,34.764153,1e-04,Character.FALCO,Action.ROLL_FORWARD,11,True,60.0,2,True,True,1.0199041,1.0199041,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.STANDING,1,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,36.002728,1e-04,Character.FALCO,Action.ROLL_FORWARD,12,True,60.0,2,True,True,1.238574,1.238574,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,1,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,38.000793,1e-04,Character.FALCO,Action.ROLL_FORWARD,13,True,60.0,2,True,True,1.9980679,1.9980679,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,2,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,40.136837,1e-04,Character.FALCO,Action.ROLL_FORWARD,14,True,60.0,2,True,True,2.1360435,2.1360435,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,42.20204,1e-04,Character.FALCO,Action.ROLL_FORWARD,15,True,60.0,2,True,True,2.0652046,2.0652046,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,4,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
2,4,12,44.151714,1e-04,Character.FALCO,Action.ROLL_FORWARD,16,True,60.0,2,True,True,1.9496727,1.9496727,0.0,0.0,0.0
1,4,24,28.996527,1e-04,Character.FOX,Action.TURNING,5,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
